t,i,q,dq,q_des,dq_des
0.763060,0,0.273245,-0.294575,0.202677,0.000000
0.765060,0,0.272478,-0.388419,0.201287,0.000000
0.767060,0,0.271711,-0.391165,0.199889,0.000000
0.769060,0,0.270944,-0.330282,0.198482,0.000000
0.771060,0,0.270177,-0.370107,0.197068,0.000000
0.773059,0,0.269410,-0.429617,0.195647,0.000000
0.775060,0,0.268643,-0.368276,0.194217,0.000000
0.777060,0,0.267492,-0.400321,0.192779,0.000000
0.779060,0,0.266725,-0.407645,0.191333,0.000000
0.781059,0,0.265575,-0.463951,0.189882,0.000000
0.783060,0,0.264808,-0.524834,0.188421,0.000000
0.785061,0,0.263657,-0.517510,0.186953,0.000000
0.787060,0,0.262507,-0.570611,0.185478,0.000000
0.789060,0,0.261356,-0.514763,0.183996,0.000000
0.791060,0,0.260206,-0.593042,0.182507,0.000000
0.793060,0,0.259055,-0.621424,0.181010,0.000000
0.795059,0,0.257905,-0.636988,0.179507,0.000000
0.797061,0,0.256755,-0.649348,0.177994,0.000000
0.799060,0,0.255604,-0.642481,0.176477,0.000000
0.801060,0,0.254070,-0.721675,0.174951,0.000000
0.803060,0,0.252920,-0.669031,0.173419,0.000000
0.805060,0,0.251769,-0.610895,0.171880,0.000000
0.807060,0,0.250235,-0.655756,0.170334,0.000000
0.809060,0,0.248701,-0.684139,0.168782,0.000000
0.811059,0,0.247167,-0.706111,0.167223,0.000000
0.813057,0,0.246017,-0.686427,0.165659,0.000000
0.815059,0,0.244481,-0.682307,0.164085,0.000000
0.817056,0,0.243331,-0.674525,0.162508,0.000000
0.819059,0,0.241797,-0.761501,0.160921,0.000000
0.821059,0,0.240263,-0.691463,0.159329,0.000000
0.823060,0,0.238345,-0.799039,0.157731,0.000000
0.825057,0,0.237195,-0.740902,0.156129,0.000000
0.827060,0,0.235661,-0.818723,0.154516,0.000000
0.829061,0,0.234127,-0.788052,0.152898,0.000000
0.831061,0,0.232593,-0.836118,0.151275,0.000000
0.833059,0,0.230675,-0.823300,0.149649,0.000000
0.835061,0,0.229141,-0.841611,0.148013,0.000000
0.837060,0,0.227607,-0.837033,0.146373,0.000000
0.839059,0,0.226073,-0.814603,0.144727,0.000000
0.841056,0,0.224156,-0.792630,0.143078,0.000000
0.843059,0,0.222622,-0.949645,0.141417,0.000000
0.845055,0,0.220704,-0.891508,0.139758,0.000000
0.847060,0,0.219171,-0.877775,0.138085,0.000000
0.849060,0,0.217253,-0.885557,0.136410,0.000000
0.851055,0,0.215336,-0.913482,0.134735,0.000000
0.853060,0,0.213802,-0.854429,0.133046,0.000000
0.855059,0,0.211884,-0.806363,0.131356,0.000000
0.857060,0,0.210350,-0.865873,0.129660,0.000000
0.859059,0,0.208433,-0.902037,0.127961,0.000000
0.861055,0,0.206515,-0.883268,0.126258,0.000000
0.863059,0,0.204981,-0.856718,0.124544,0.000000
0.865060,0,0.203064,-0.860838,0.122827,0.000000
0.867059,0,0.201146,-0.929961,0.121108,0.000000
0.869060,0,0.199229,-0.958800,0.119382,0.000000
0.871060,0,0.197311,-0.953307,0.117652,0.000000
0.873056,0,0.195394,-0.946898,0.115920,0.000000
0.875059,0,0.193476,-0.882811,0.114178,0.000000
0.877056,0,0.191559,-0.962462,0.112437,0.000000
