t,i,q,dq,q_des,dq_des
3.958178,0,-0.050047,0.933623,-0.038727,0.934355
3.968046,0,-0.040076,0.975280,-0.029490,0.937733
3.978138,0,-0.030872,0.956054,-0.020013,0.940256
3.988065,0,-0.020900,1.084229,-0.010670,0.941815
3.998106,0,-0.011313,1.018311,-0.001210,0.942461
4.008066,0,-0.001726,0.991302,0.008176,0.942175
4.018061,0,0.007862,0.948730,0.017589,0.940961
4.028057,0,0.017449,1.005952,0.026984,0.938819
4.038059,0,0.027036,0.902038,0.036359,0.935749
4.048055,0,0.036240,0.877317,0.045695,0.931758
4.058060,0,0.045828,0.968413,0.054992,0.926843
4.068057,0,0.055417,0.912566,0.064230,0.921018
4.078059,0,0.064620,0.862210,0.073409,0.914280
4.088058,0,0.073824,0.919433,0.082514,0.906643
4.098058,0,0.083028,0.925384,0.091538,0.898110
4.108067,0,0.092232,0.921721,0.100481,0.888682
4.118122,0,0.101052,0.913024,0.109365,0.878325
4.128056,0,0.109873,0.889220,0.118036,0.867233
4.138057,0,0.118693,0.901580,0.126650,0.855213
4.148053,0,0.127514,0.878690,0.135135,0.842355
4.158058,0,0.135951,0.815976,0.143494,0.828655
4.168057,0,0.144387,0.863584,0.151708,0.814144
4.178058,0,0.152826,0.864499,0.159775,0.798827
4.188057,0,0.160879,0.733577,0.167683,0.782723
4.198058,0,0.168549,0.753719,0.175427,0.765846
4.208058,0,0.176219,0.737239,0.182998,0.748214
4.218058,0,0.183889,0.784848,0.190389,0.729843
4.228057,0,0.191559,0.680934,0.197592,0.710754
4.238059,0,0.198462,0.669948,0.204602,0.690959
4.248058,0,0.204981,0.707942,0.211409,0.670486
4.258058,0,0.211884,0.718013,0.218009,0.649350
4.268058,0,0.218787,0.661708,0.224394,0.627574
4.278058,0,0.224923,0.547723,0.230558,0.605178
4.288058,0,0.230675,0.511558,0.236496,0.582183
4.298059,0,0.236428,0.564203,0.242201,0.558614
4.308059,0,0.241797,0.618677,0.247666,0.534495
4.318059,0,0.247551,0.524375,0.252889,0.509848
4.328058,0,0.253303,0.611352,0.257861,0.484700
4.338059,0,0.257905,0.456169,0.262581,0.459070
4.348059,0,0.262123,0.431449,0.267042,0.432989
4.358058,0,0.265958,0.371023,0.271239,0.406484
4.368058,0,0.270177,0.404897,0.275170,0.379573
4.378059,0,0.274395,0.407644,0.278829,0.352287
4.388058,0,0.278997,0.404897,0.282214,0.324658
4.398060,0,0.282449,0.373312,0.285322,0.296698
4.408059,0,0.285517,0.281299,0.288148,0.268458
4.418132,0,0.287818,0.190204,0.290707,0.239739
4.428064,0,0.289352,0.069353,0.292947,0.211186
4.438133,0,0.290502,0.038223,0.294927,0.182031
4.448060,0,0.291269,0.051956,0.296590,0.153107
4.458141,0,0.291653,0.078508,0.297985,0.123582
4.468065,0,0.292036,0.012589,0.299067,0.094398
4.478130,0,0.292420,0.019913,0.299867,0.064704
4.488046,0,0.292803,0.102770,0.300364,0.035386
4.498133,0,0.293187,0.027237,0.300570,0.005528
4.508063,0,0.293187,0.023575,0.300479,-0.023871
4.518058,0,0.293187,-0.030442,0.300093,-0.053438
4.528056,0,0.293187,0.021286,0.299411,-0.082964
4.538144,0,0.293187,0.026321,0.298424,-0.112670
4.548069,0,0.292803,-0.016708,0.297161,-0.141786
4.558147,0,0.292803,0.006638,0.295584,-0.171212
4.568055,0,0.292803,-0.011673,0.293745,-0.199972
4.578144,0,0.292036,-0.012131,0.291580,-0.229057
4.588060,0,0.291653,-0.087663,0.289168,-0.257422
4.598142,0,0.290886,-0.107347,0.286428,-0.286005
4.608079,0,0.289352,-0.172351,0.283448,-0.313896
4.618147,0,0.287818,-0.193408,0.280146,-0.341842
4.628076,0,0.285133,-0.285420,0.276617,-0.369068
4.638136,0,0.282065,-0.313801,0.272767,-0.396286
4.648082,0,0.278230,-0.322958,0.268693,-0.422807
4.658135,0,0.273628,-0.460746,0.264309,-0.449196
4.668049,0,0.269793,-0.428244,0.259729,-0.474778
4.678139,0,0.265191,-0.479972,0.254809,-0.500343
4.688073,0,0.260973,-0.453422,0.249715,-0.525024
4.698143,0,0.256371,-0.457084,0.244305,-0.549517
4.708061,0,0.251386,-0.554131,0.238738,-0.573104
4.718065,0,0.245633,-0.628290,0.232888,-0.596332
4.728064,0,0.239496,-0.657587,0.226811,-0.618960
4.738144,0,0.232976,-0.665827,0.220460,-0.641153
4.748050,0,0.226457,-0.603570,0.214003,-0.662338
4.758136,0,0.219938,-0.658503,0.207216,-0.683247
4.768058,0,0.212651,-0.814603,0.200338,-0.703147
4.778140,0,0.204981,-0.785305,0.193150,-0.722669
4.788074,0,0.197695,-0.823300,0.185878,-0.741194
4.798148,0,0.190025,-0.831540,0.178320,-0.759245
4.808074,0,0.182355,-0.788052,0.170699,-0.776285
4.818126,0,0.173918,-0.860380,0.162812,-0.792774
